 allocated memory at: 0x61f000
after memory allocation
after identifying candidate routines
after chaining all branch targets
after setting initial estimated new ins addrs in tc
jump to orig addr: 0x4011b0 : 0x401334: call 0x4011b0
jump to orig addr: 0x4010e0 : 0x401668: call 0x4010e0
jump to orig addr: 0x401130 : 0x401679: call 0x401130
jump to orig addr: 0x401180 : 0x4016a1: call 0x401180
jump to orig addr: 0x401240 : 0x4016c2: call 0x401240
jump to orig addr: 0x4010f0 : 0x4016f9: call 0x4010f0
jump to orig addr: 0x4010f0 : 0x401710: call 0x4010f0
jump to orig addr: 0x4011a0 : 0x401774: call 0x4011a0
jump to orig addr: 0x401110 : 0x4017ad: call 0x401110
jump to orig addr: 0x4010f0 : 0x4017bf: call 0x4010f0
jump to orig addr: 0x4010f0 : 0x401858: call 0x4010f0
jump to orig addr: 0x401230 : 0x40186f: call 0x401230
jump to orig addr: 0x401120 : 0x40189b: call 0x401120
jump to orig addr: 0x4010f0 : 0x4018cd: call 0x4010f0
jump to orig addr: 0x401120 : 0x4018e4: call 0x401120
jump to orig addr: 0x4012d0 : 0x401931: call 0x4012d0
jump to orig addr: 0x4011f0 : 0x401a5f: call 0x4011f0
jump to orig addr: 0x4010f0 : 0x401b30: call 0x4010f0
jump to orig addr: 0x4010f0 : 0x401b47: call 0x4010f0
jump to orig addr: 0x4012d0 : 0x401c0a: call 0x4012d0
jump to orig addr: 0x4010f0 : 0x401c19: call 0x4010f0
jump to orig addr: 0x4010e0 : 0x401ca2: call 0x4010e0
jump to orig addr: 0x401130 : 0x401cb3: call 0x401130
jump to orig addr: 0x4010f0 : 0x401d14: call 0x4010f0
jump to orig addr: 0x401120 : 0x401d2b: call 0x401120
jump to orig addr: 0x4010f0 : 0x401d47: call 0x4010f0
jump to orig addr: 0x401230 : 0x401d5e: call 0x401230
jump to orig addr: 0x401120 : 0x401d8a: call 0x401120
jump to orig addr: 0x4012d0 : 0x401dd6: call 0x4012d0
jump to orig addr: 0x401170 : 0x401dff: call 0x401170
jump to orig addr: 0x401110 : 0x401e38: call 0x401110
jump to orig addr: 0x4010f0 : 0x401e4a: call 0x4010f0
jump to orig addr: 0x4012d0 : 0x401e79: call 0x4012d0
jump to orig addr: 0x4010f0 : 0x401e88: call 0x4010f0
jump to orig addr: 0x401120 : 0x401f18: call 0x401120
jump to orig addr: 0x401120 : 0x401f37: call 0x401120
jump to orig addr: 0x4011f0 : 0x401f74: call 0x4011f0
jump to orig addr: 0x4010f0 : 0x401fc1: call 0x4010f0
jump to orig addr: 0x4010e0 : 0x4020cf: call 0x4010e0
jump to orig addr: 0x401130 : 0x4020e0: call 0x401130
jump to orig addr: 0x4010f0 : 0x402141: call 0x4010f0
jump to orig addr: 0x401120 : 0x402158: call 0x401120
jump to orig addr: 0x4012d0 : 0x40218e: call 0x4012d0
jump to orig addr: 0x4011f0 : 0x4021de: call 0x4011f0
jump to orig addr: 0x4012d0 : 0x402228: call 0x4012d0
jump to orig addr: 0x4012d0 : 0x402255: call 0x4012d0
jump to orig addr: 0x401120 : 0x40227e: call 0x401120
jump to orig addr: 0x4012d0 : 0x4022a2: call 0x4012d0
jump to orig addr: 0x4012d0 : 0x4022d2: call 0x4012d0
jump to orig addr: 0x4012d0 : 0x40232f: call 0x4012d0
jump to orig addr: 0x4011f0 : 0x402363: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x4023f4: call 0x4011f0
jump to orig addr: 0x401120 : 0x40240f: call 0x401120
jump to orig addr: 0x4010b0 : 0x402419: call 0x4010b0
jump to orig addr: 0x4011f0 : 0x402446: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x40246b: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x40248b: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x4024b0: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x4024d0: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x402538: call 0x4011f0
jump to orig addr: 0x4012c0 : 0x402552: call 0x4012c0
jump to orig addr: 0x4011f0 : 0x402582: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x4025b5: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x4025f8: call 0x4011f0
jump to orig addr: 0x4012a0 : 0x402607: call 0x4012a0
jump to orig addr: 0x4011f0 : 0x40263f: call 0x4011f0
jump to orig addr: 0x4012a0 : 0x40264e: call 0x4012a0
jump to orig addr: 0x4011f0 : 0x402688: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x4026c8: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x4026ea: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x402737: call 0x4011f0
jump to orig addr: 0x4012d0 : 0x402768: call 0x4012d0
jump to orig addr: 0x4012c0 : 0x40277f: call 0x4012c0
jump to orig addr: 0x401150 : 0x402798: call 0x401150
jump to orig addr: 0x4011a0 : 0x4027c1: call 0x4011a0
jump to orig addr: 0x401150 : 0x4027d7: call 0x401150
jump to orig addr: 0x401150 : 0x402808: call 0x401150
jump to orig addr: 0x4011f0 : 0x402832: call 0x4011f0
jump to orig addr: 0x4012c0 : 0x402849: call 0x4012c0
jump to orig addr: 0x4010a0 : 0x402861: call 0x4010a0
jump to orig addr: 0x401290 : 0x40288d: call 0x401290
jump to orig addr: 0x401120 : 0x4028af: call 0x401120
jump to orig addr: 0x401280 : 0x4028e0: call 0x401280
jump to orig addr: 0x401260 : 0x402901: call 0x401260
jump to orig addr: 0x401190 : 0x402916: call 0x401190
jump to orig addr: 0x401270 : 0x402a21: call 0x401270
jump to orig addr: 0x401070 : 0x402a42: call 0x401070
jump to orig addr: 0x401250 : 0x402a6a: call 0x401250
jump to orig addr: 0x401150 : 0x402a9a: call 0x401150
jump to orig addr: 0x401150 : 0x402aa9: call 0x401150
jump to orig addr: 0x4011c0 : 0x402adf: call 0x4011c0
jump to orig addr: 0x401150 : 0x402b30: call 0x401150
jump to orig addr: 0x401150 : 0x402b3f: call 0x401150
jump to orig addr: 0x4012b0 : 0x402b62: call 0x4012b0
jump to orig addr: 0x4011f0 : 0x402cbb: call 0x4011f0
jump to orig addr: 0x401090 : 0x402ce8: call 0x401090
jump to orig addr: 0x4012e0 : 0x402cf1: call 0x4012e0
jump to orig addr: 0x4011f0 : 0x402d1c: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x402d92: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x402e0c: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x402e6f: call 0x4011f0
jump to orig addr: 0x4010b0 : 0x402eac: call 0x4010b0
jump to orig addr: 0x4011f0 : 0x402ed3: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x402f48: call 0x4011f0
jump to orig addr: 0x401200 : 0x402fb2: call 0x401200
jump to orig addr: 0x401100 : 0x402fb9: call 0x401100
jump to orig addr: 0x4011f0 : 0x402fe1: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x403008: call 0x4011f0
jump to orig addr: 0x401290 : 0x403026: call 0x401290
jump to orig addr: 0x401200 : 0x403044: call 0x401200
jump to orig addr: 0x401100 : 0x40304b: call 0x401100
jump to orig addr: 0x4011f0 : 0x40306f: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x403096: call 0x4011f0
jump to orig addr: 0x401120 : 0x4030a9: call 0x401120
jump to orig addr: 0x401090 : 0x4030c8: call 0x401090
jump to orig addr: 0x4012e0 : 0x4030d1: call 0x4012e0
jump to orig addr: 0x4011f0 : 0x4030fc: call 0x4011f0
jump to orig addr: 0x401290 : 0x40311a: call 0x401290
jump to orig addr: 0x401090 : 0x40313d: call 0x401090
jump to orig addr: 0x4012e0 : 0x403146: call 0x4012e0
jump to orig addr: 0x4011f0 : 0x403171: call 0x4011f0
jump to orig addr: 0x401120 : 0x403184: call 0x401120
jump to orig addr: 0x401090 : 0x40319f: call 0x401090
jump to orig addr: 0x4012e0 : 0x4031a8: call 0x4012e0
jump to orig addr: 0x4011f0 : 0x4031d3: call 0x4011f0
jump to orig addr: 0x401120 : 0x4031e6: call 0x401120
jump to orig addr: 0x4011f0 : 0x40322e: call 0x4011f0
jump to orig addr: 0x401230 : 0x403247: call 0x401230
jump to orig addr: 0x4010b0 : 0x4032a8: call 0x4010b0
jump to orig addr: 0x4011f0 : 0x403454: call 0x4011f0
jump to orig addr: 0x401090 : 0x403481: call 0x401090
jump to orig addr: 0x4012e0 : 0x40348a: call 0x4012e0
jump to orig addr: 0x4011f0 : 0x4034b5: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x403525: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x403588: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x4035d3: call 0x4011f0
jump to orig addr: 0x4010b0 : 0x403601: call 0x4010b0
jump to orig addr: 0x4011f0 : 0x403628: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x40369d: call 0x4011f0
jump to orig addr: 0x401200 : 0x403707: call 0x401200
jump to orig addr: 0x401100 : 0x40370e: call 0x401100
jump to orig addr: 0x4011f0 : 0x403736: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x40375d: call 0x4011f0
jump to orig addr: 0x401290 : 0x40377b: call 0x401290
jump to orig addr: 0x401090 : 0x40379a: call 0x401090
jump to orig addr: 0x4012e0 : 0x4037a3: call 0x4012e0
jump to orig addr: 0x4011f0 : 0x4037ce: call 0x4011f0
jump to orig addr: 0x401120 : 0x4037e1: call 0x401120
jump to orig addr: 0x401290 : 0x4037ff: call 0x401290
jump to orig addr: 0x401090 : 0x403822: call 0x401090
jump to orig addr: 0x4012e0 : 0x40382b: call 0x4012e0
jump to orig addr: 0x4011f0 : 0x403856: call 0x4011f0
jump to orig addr: 0x401120 : 0x403869: call 0x401120
jump to orig addr: 0x401090 : 0x403884: call 0x401090
jump to orig addr: 0x4012e0 : 0x40388d: call 0x4012e0
jump to orig addr: 0x4011f0 : 0x4038b8: call 0x4011f0
jump to orig addr: 0x401120 : 0x4038cb: call 0x401120
jump to orig addr: 0x4011f0 : 0x403913: call 0x4011f0
jump to orig addr: 0x401230 : 0x40392c: call 0x401230
jump to orig addr: 0x4010b0 : 0x403996: call 0x4010b0
jump to orig addr: 0x4010b0 : 0x4039c7: call 0x4010b0
jump to orig addr: 0x4012d0 : 0x403a0a: call 0x4012d0
jump to orig addr: 0x4012d0 : 0x403a3e: call 0x4012d0
jump to orig addr: 0x4011f0 : 0x403a65: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x403b48: call 0x4011f0
jump to orig addr: 0x401090 : 0x403b75: call 0x401090
jump to orig addr: 0x4012e0 : 0x403b7e: call 0x4012e0
jump to orig addr: 0x4011f0 : 0x403ba9: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x403c0e: call 0x4011f0
jump to orig addr: 0x401200 : 0x403c4b: call 0x401200
jump to orig addr: 0x401100 : 0x403c52: call 0x401100
jump to orig addr: 0x4011f0 : 0x403c76: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x403c9d: call 0x4011f0
jump to orig addr: 0x401290 : 0x403cc8: call 0x401290
jump to orig addr: 0x401090 : 0x403cd8: call 0x401090
jump to orig addr: 0x4012e0 : 0x403ce1: call 0x4012e0
jump to orig addr: 0x4011f0 : 0x403d0c: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x403d4e: call 0x4011f0
jump to orig addr: 0x401230 : 0x403d67: call 0x401230
jump to orig addr: 0x4012d0 : 0x403daf: call 0x4012d0
jump to orig addr: 0x4011f0 : 0x403de3: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x403e16: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x403e48: call 0x4011f0
jump to orig addr: 0x401220 : 0x403e62: call 0x401220
jump to orig addr: 0x401150 : 0x403ed7: call 0x401150
jump to orig addr: 0x4010d0 : 0x403efe: call 0x4010d0
jump to orig addr: 0x401060 : 0x403f68: call 0x401060
jump to orig addr: 0x401300 : 0x403fbd: call 0x401300
jump to orig addr: 0x401300 : 0x403fff: call 0x401300
jump to orig addr: 0x4011d0 : 0x404164: call 0x4011d0
jump to orig addr: 0x4011d0 : 0x404173: call 0x4011d0
jump to orig addr: 0x4011c0 : 0x404289: call 0x4011c0
jump to orig addr: 0x401150 : 0x4042c5: call 0x401150
jump to orig addr: 0x401150 : 0x4042e0: call 0x401150
jump to orig addr: 0x4012f0 : 0x40433e: call 0x4012f0
jump to orig addr: 0x4012f0 : 0x404357: call 0x4012f0
jump to orig addr: 0x4012f0 : 0x40437a: call 0x4012f0
jump to orig addr: 0x4012f0 : 0x404393: call 0x4012f0
jump to orig addr: 0x4012f0 : 0x4043ac: call 0x4012f0
jump to orig addr: 0x4012f0 : 0x4043c5: call 0x4012f0
jump to orig addr: 0x4011c0 : 0x404411: call 0x4011c0
jump to orig addr: 0x4012c0 : 0x404598: call 0x4012c0
jump to orig addr: 0x4011f0 : 0x4045bf: call 0x4011f0
jump to orig addr: 0x4012c0 : 0x4045d8: call 0x4012c0
jump to orig addr: 0x4011c0 : 0x404631: call 0x4011c0
jump to orig addr: 0x4011c0 : 0x40464d: call 0x4011c0
