 allocated memory at: 0x60217cd28000
after memory allocation
after identifying candidate routines
after chaining all branch targets
after setting initial estimated new ins addrs in tc
jump to orig addr: 0x60217c4aa6e0 : 0x60217c4aa110: call 0x60217c4aa6e0
jump to orig addr: 0x60217c4aa2c0 : 0x60217c4aa734: call 0x60217c4aa2c0
jump to orig addr: 0x60217c4aa6f0 : 0x60217c4aa7ce: call 0x60217c4aa6f0
jump to orig addr: 0x60217c89d143 : 0x60217c4aae95: call 0x60217c89d143
jump to orig addr: 0x60217c6311c6 : 0x60217c4ab010: call 0x60217c6311c6
jump to orig addr: 0x60217c4aa160 : 0x60217c4ac870: call 0x60217c4aa160
jump to orig addr: 0x60217c4ac678 : 0x60217c4ac96c: call 0x60217c4ac678
jump to orig addr: 0x60217c4aa160 : 0x60217c4aca74: call 0x60217c4aa160
jump to orig addr: 0x60217c4aa160 : 0x60217c4acacf: call 0x60217c4aa160
jump to orig addr: 0x60217c4aa160 : 0x60217c4acae0: call 0x60217c4aa160
jump to orig addr: 0x60217c4aa680 : 0x60217c4acaf4: call 0x60217c4aa680
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4ace1e: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4ace32: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4ad09a: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4ad5fe: call 0x60217c4aa6f8
jump to orig addr: 0x60217c6311c6 : 0x60217c4ad827: call 0x60217c6311c6
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4adbc3: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa1a0 : 0x60217c4adc11: call 0x60217c4aa1a0
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4add23: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4add53: jmp 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa2a0 : 0x60217c4ade92: call 0x60217c4aa2a0
